[FILEINFO]
Version	2.0
Type	Profile
Date	2018/12/17 15:59:25

[DITEST]
Serial Number	18ST1087	
Type	STA-R	

[MEASUREMENT]
Date	2018/12/17 15:52:33	
Measurement duration (s)	17.286	
File Name	2018_12_17_15_52_33_375	
Sensor name	Training 1	
Sensor ID	23	
Sensor Length (m)	115.00	
Sample Count	226	
Spatial Resolution (m)	1.0	
Sampling Interval (ns)	5	
Averaging	2000	
Pulse Rate (kHz)	25	
Frequency start (GHz)	10.7	
Frequency stop (GHz)	11.6000000000001	
Frequency step set (GHz)	0.005	
Frequency step actual (MHz)	5.0	
Nb of frequency peak	2	
Sensor configuration	Single-end	
Frequency scan mode	Manual	
Probe attenuation (%)	0	
Pulse power factor (%)	0	

[MAINTENANCEINFO]
Internal		

[DATADESCRIPTION]
Nb of measurements	1
Distance unit	m
Data type	Brillouin Frequency
Data unit	GHz
Measurement Mode	Absolute

[DATA]	
0.306	10.81603	
0.817	10.81123	
1.327	10.81522	
1.838	10.81494	
2.348	10.81761	
2.859	10.82079	
3.369	10.84171	
3.880	10.79588	
4.390	10.83543	
4.901	10.82259	
5.411	10.85196	
5.922	10.81397	
6.432	10.80396	
6.942	10.82321	
7.453	10.82196	
7.963	10.82173	
8.474	10.80772	
8.984	10.91219	
9.495	10.81783	
10.005	10.81697	
10.516	10.86401	
11.026	10.80311	
11.537	10.80896	
12.047	10.84848	
12.558	10.80137	
13.068	10.84660	
13.579	10.81419	
14.089	10.79274	
14.600	10.88805	
15.110	10.83485	
15.621	10.79094	
16.131	10.85488	
16.642	10.81239	
17.152	10.84634	
17.662	10.81616	
18.173	10.82133	
18.683	10.83918	
19.194	10.79891	
19.704	10.77384	
20.215	10.78181	
20.725	10.80396	
21.236	10.84906	
21.746	10.80214	
22.257	10.81034	
22.767	10.80450	
23.278	10.83337	
23.788	10.80439	
24.299	10.90058	
24.809	10.77794	
25.320	10.88751	
25.830	10.77021	
26.341	10.78091	
26.851	10.81230	
27.362	10.84864	
27.872	10.78992	
28.382	10.80602	
28.893	10.80669	
29.403	10.86896	
29.914	10.77199	
30.424	10.79472	
30.935	10.81044	
31.445	10.76008	
31.956	10.83936	
32.466	10.84616	
32.977	10.84857	
33.487	10.79997	
33.998	10.83633	
34.508	10.80561	
35.019	10.81678	
35.529	10.81087	
36.040	10.80227	
36.550	10.80847	
37.061	10.80366	
37.571	10.87056	
38.082	10.80857	
38.592	10.83087	
39.102	10.82524	
39.613	10.79626	
40.123	10.81832	
40.634	10.78186	
41.144	10.86636	
41.655	10.91062	
42.165	10.79809	
42.676	10.80730	
43.186	10.77854	
43.697	10.83039	
44.207	10.79497	
44.718	10.79968	
45.228	10.84076	
45.739	10.80266	
46.249	10.78685	
46.760	10.80914	
47.270	10.80857	
47.781	10.81192	
48.291	10.84388	
48.802	10.79769	
49.312	10.84702	
49.822	10.80112	
50.333	10.77428	
50.843	10.85787	
51.354	10.86518	
51.864	10.83711	
52.375	10.84010	
52.885	10.81170	
53.396	10.82223	
53.906	10.83890	
54.417	10.83131	
54.927	10.82230	
55.438	10.79537	
55.948	10.81488	
56.459	10.81147	
56.969	10.79198	
57.480	10.84561	
57.990	10.81947	
58.501	10.81791	
59.011	10.80869	
59.522	10.80010	
60.032	10.80381	
60.542	10.82030	
61.053	10.80823	
61.563	10.80155	
62.074	10.83175	
62.584	10.81053	
63.095	10.83776	
63.605	10.77131	
64.116	10.83639	
64.626	10.84244	
65.137	10.79218	
65.647	10.81616	
66.158	10.79189	
66.668	10.79554	
67.179	10.79278	
67.689	10.70000	
68.200	10.87591	
68.710	10.80266	
69.221	10.79180	
69.731	10.80295	
70.242	10.79082	
70.752	10.88246	
71.262	10.80988	
71.773	10.81974	
72.283	10.78720	
72.794	10.80587	
73.304	10.80737	
73.815	10.80904	
74.325	10.83007	
74.836	10.78558	
75.346	10.80533	
75.857	10.81495	
76.367	10.91511	
76.878	10.84828	
77.388	10.84565	
77.899	10.85109	
78.409	10.79323	
78.920	10.81690	
79.430	10.83205	
79.941	10.80860	
80.451	10.81897	
80.962	10.79437	
81.472	10.82334	
81.982	10.83603	
82.493	10.80346	
83.003	10.79931	
83.514	10.70000	
84.024	10.79022	
84.535	10.80793	
85.045	10.77834	
85.556	10.78494	
86.066	10.79931	
86.577	10.75084	
87.087	10.76329	
87.598	10.77320	
88.108	10.76771	
88.619	10.79350	
89.129	10.80388	
89.640	10.99150	
90.150	10.95574	
90.661	10.95041	
91.171	10.84968	
91.682	10.81467	
92.192	10.80305	
92.702	10.76014	
93.213	10.84699	
93.723	10.81705	
94.234	10.82433	
94.744	10.90470	
95.255	10.83166	
95.765	10.79693	
96.276	10.80124	
96.786	10.79594	
97.297	10.94258	
97.807	10.99953	
98.318	10.82231	
98.828	10.85728	
99.339	10.84107	
99.849	10.81785	
100.360	10.78658	
100.870	10.79090	
101.381	10.79540	
101.891	10.84278	
102.402	10.82774	
102.912	10.77119	
103.422	10.93066	
103.933	10.80412	
104.443	10.78118	
104.954	10.80687	
105.464	10.86460	
105.975	11.34879	
106.485	10.88688	
106.996	10.70000	
107.506	10.73539	
108.017	10.86304	
108.527	11.16553	
109.038	11.43128	
109.548	11.12708	
110.059	10.75534	
110.569	11.13403	
111.080	11.18763	
111.590	11.39945	
112.101	11.40044	
112.611	11.07326	
113.122	11.43413	
113.632	11.42884	
114.142	10.88499	
114.653	11.14505	
