[FILEINFO]
Version	2.0
Type	Profile
Date	2018/12/17 17:42:36

[DITEST]
Serial Number	18ST1087	
Type	STA-R	

[MEASUREMENT]
Date	2018/12/17 17:33:42	
Measurement duration (s)	25.168	
File Name	2018_12_17_17_33_42_243	
Sensor name	Training 1	
Sensor ID	23	
Sensor Length (m)	115.00	
Sample Count	226	
Spatial Resolution (m)	1.0	
Sampling Interval (ns)	5	
Averaging	2000	
Pulse Rate (kHz)	25	
Frequency start (GHz)	10.7	
Frequency stop (GHz)	12.0000000000002	
Frequency step set (GHz)	0.005	
Frequency step actual (MHz)	5.0	
Nb of frequency peak	2	
Sensor configuration	Single-end	
Frequency scan mode	Manual	
Probe attenuation (%)	0	
Pulse power factor (%)	0	

[MAINTENANCEINFO]
Internal		

[DATADESCRIPTION]
Nb of measurements	1
Distance unit	m
Data type	Brillouin Frequency
Data unit	GHz
Measurement Mode	Absolute

[DATA]	
0.306	10.82279	
0.817	10.80710	
1.327	10.82117	
1.838	10.81156	
2.348	10.82530	
2.859	10.82523	
3.369	10.81943	
3.880	10.81487	
4.390	10.81676	
4.901	10.82656	
5.411	10.84169	
5.922	10.79688	
6.432	10.81111	
6.942	10.80534	
7.453	10.84908	
7.963	10.85333	
8.474	10.81912	
8.984	10.82798	
9.495	10.80265	
10.005	10.82166	
10.516	10.85082	
11.026	10.81204	
11.537	10.81326	
12.047	10.82852	
12.558	10.85649	
13.068	10.84221	
13.579	10.75357	
14.089	10.87035	
14.600	10.79936	
15.110	10.80951	
15.621	10.90890	
16.131	10.82965	
16.642	10.80646	
17.152	10.79324	
17.662	10.82389	
18.173	10.83411	
18.683	10.79247	
19.194	10.97308	
19.704	10.84042	
20.215	10.79192	
20.725	10.82442	
21.236	10.82104	
21.746	10.85886	
22.257	10.79112	
22.767	10.82646	
23.278	10.82657	
23.788	10.83236	
24.299	10.85527	
24.809	10.82833	
25.320	10.78424	
25.830	10.85061	
26.341	10.82506	
26.851	10.78623	
27.362	10.78458	
27.872	10.82452	
28.382	10.94422	
28.893	10.79473	
29.403	10.80974	
29.914	10.89357	
30.424	10.81682	
30.935	10.74228	
31.445	10.91630	
31.956	10.97452	
32.466	10.92351	
32.977	10.80490	
33.487	10.85677	
33.998	10.82008	
34.508	10.81570	
35.019	10.82496	
35.529	10.89361	
36.040	10.80185	
36.550	10.87084	
37.061	10.84430	
37.571	10.82653	
38.082	10.83026	
38.592	10.81189	
39.102	10.80389	
39.613	10.77241	
40.123	10.86056	
40.634	10.90620	
41.144	10.83932	
41.655	10.92117	
42.165	10.79744	
42.676	10.86128	
43.186	10.88090	
43.697	10.85231	
44.207	10.81021	
44.718	10.78195	
45.228	10.81474	
45.739	10.81271	
46.249	10.91530	
46.760	10.80504	
47.270	10.82027	
47.781	10.90944	
48.291	10.86949	
48.802	10.83359	
49.312	10.79212	
49.822	10.82618	
50.333	10.80013	
50.843	10.84569	
51.354	10.79989	
51.864	10.90290	
52.375	10.81826	
52.885	10.81354	
53.396	10.82234	
53.906	10.83499	
54.417	10.82245	
54.927	10.84240	
55.438	10.77652	
55.948	10.81102	
56.459	10.80442	
56.969	10.82290	
57.480	10.78505	
57.990	10.84322	
58.501	10.80940	
59.011	10.80958	
59.522	10.77885	
60.032	10.89307	
60.542	10.81297	
61.053	10.80814	
61.563	10.81953	
62.074	10.81285	
62.584	10.80712	
63.095	10.82135	
63.605	10.81977	
64.116	10.78919	
64.626	10.89597	
65.137	10.84815	
65.647	10.81153	
66.158	10.81733	
66.668	10.87514	
67.179	10.78126	
67.689	10.81994	
68.200	10.80709	
68.710	10.79910	
69.221	10.82527	
69.731	10.78527	
70.242	10.77208	
70.752	10.83485	
71.262	10.82369	
71.773	10.73950	
72.283	10.84270	
72.794	10.85819	
73.304	10.79853	
73.815	10.79188	
74.325	10.79837	
74.836	10.79480	
75.346	10.77969	
75.857	10.84116	
76.367	10.88190	
76.878	10.78464	
77.388	10.81140	
77.899	10.80161	
78.409	10.83095	
78.920	10.82684	
79.430	10.85424	
79.941	10.84551	
80.451	10.82591	
80.962	10.85545	
81.472	10.81145	
81.982	10.70000	
82.493	10.81118	
83.003	10.78975	
83.514	10.80535	
84.024	10.81173	
84.535	10.76539	
85.045	10.77039	
85.556	10.80397	
86.066	10.79502	
86.577	10.77676	
87.087	10.78856	
87.598	10.78444	
88.108	10.79217	
88.619	10.77298	
89.129	10.75009	
89.640	10.82158	
90.150	10.83437	
90.661	10.83810	
91.171	10.93352	
91.682	10.85188	
92.192	10.83826	
92.702	10.79243	
93.213	10.82226	
93.723	10.81600	
94.234	10.84117	
94.744	10.81927	
95.255	10.76092	
95.765	10.72185	
96.276	10.93269	
96.786	10.90531	
97.297	11.02548	
97.807	10.86927	
98.318	10.78786	
98.828	10.88196	
99.339	10.76389	
99.849	10.80246	
100.360	10.96453	
100.870	10.77061	
101.381	10.84256	
101.891	10.89907	
102.402	10.79684	
102.912	10.79529	
103.422	10.85657	
103.933	10.82420	
104.443	10.80095	
104.954	10.87174	
105.464	10.90595	
105.975	11.20563	
106.485	10.71250	
106.996	10.70000	
107.506	11.04058	
108.017	10.77883	
108.527	11.25635	
109.038	11.64533	
109.548	10.95583	
110.059	11.79216	
110.569	11.54678	
111.080	11.06970	
111.590	11.37154	
112.101	11.71883	
112.611	11.06681	
113.122	10.70000	
113.632	11.21300	
114.142	11.70505	
114.653	11.55712	
